,Player,Country,Team,Assists,Season,season_start
426,Christian Dailly,Scotland,West Ham United,1,2001-2002,2001
427,Sean Davis,England,Fulham FC,1,2001-2002,2001
428,Brian Deane,England,Middlesbrough FC,1,2001-2002,2001
429,Marcel Desailly,France,Chelsea FC,1,2001-2002,2001
430,Paul Dickov,Scotland,Leicester City,1,2001-2002,2001
431,Youri Djorkaeff,France,Bolton Wanderers,1,2001-2002,2001
432,Edu Gaspar,Brazil,Arsenal FC,1,2001-2002,2001
433,Taher El-Khalej,Morocco,Southampton FC,1,2001-2002,2001
434,Matthew Etherington,England,Tottenham Hotspur,1,2001-2002,2001
435,Rio Ferdinand,England,Leeds United,1,2001-2002,2001
436,Duncan Ferguson,Scotland,Everton FC,1,2001-2002,2001
437,Bjarne Goldbæk,Denmark,Fulham FC,1,2001-2002,2001
438,Alain Goma,France,Fulham FC,1,2001-2002,2001
439,Jonathan Greening,England,Middlesbrough FC,1,2001-2002,2001
440,Bernt Haas,Switzerland,Sunderland AFC,1,2001-2002,2001
441,Bo Hansen,Denmark,Bolton Wanderers,1,2001-2002,2001
442,Colin Hendry,Scotland,Bolton Wanderers,1,2001-2002,2001
443,Hermann Hreiðarsson,Iceland,Ipswich Town,1,2001-2002,2001
444,Andy Impey,England,Leicester City,1,2001-2002,2001
445,Steffen Iversen,Norway,Tottenham Hotspur,1,2001-2002,2001
446,Muzzy Izzet,Turkey,Leicester City,1,2001-2002,2001
447,Jermaine Jenas,England,Newcastle United,1,2001-2002,2001
448,Claus Jensen,Denmark,Charlton Athletic,1,2001-2002,2001
449,Seth Johnson,England,Leeds United,1,2001-2002,2001
450,Hassan Kachloul,Morocco,Aston Villa,1,2001-2002,2001
451,Nwankwo Kanu,Nigeria,Arsenal FC,1,2001-2002,2001
452,Martin Keown,England,Arsenal FC,1,2001-2002,2001
453,Dean Kiely,Ireland,Charlton Athletic,1,2001-2002,2001
454,Sylvain Legwinski,France,Fulham FC,1,2001-2002,2001
455,Øyvind Leonhardsen,Norway,Tottenham Hotspur,1,2001-2002,2001
456,Tobias Linderoth,Sweden,Everton FC,1,2001-2002,2001
457,Kevin Lisbie,Jamaica,Charlton Athletic,1,2001-2002,2001
458,Jari Litmanen,Finland,Liverpool FC,1,2001-2002,2001
459,Oleg Luzhniy,Ukraine,Arsenal FC,1,2001-2002,2001
460,Jim Magilton,Northern Ireland,Ipswich Town,1,2001-2002,2001
461,Gavin McCann,England,Sunderland AFC,1,2001-2002,2001
462,John McGreal,England,Ipswich Town,1,2001-2002,2001
463,Olof Mellberg,Sweden,Aston Villa,1,2001-2002,2001
464,Scott Minto,England,West Ham United,1,2001-2002,2001
465,Lee Morris,England,Derby County,1,2001-2002,2001
466,Robbie Mustoe,England,Middlesbrough FC,1,2001-2002,2001
467,Lucas Neill,Australia,Blackburn Rovers,1,2001-2002,2001
468,Szilárd Németh,Slovakia,Middlesbrough FC,1,2001-2002,2001
469,Kevin Nolan,England,Bolton Wanderers,1,2001-2002,2001
470,Matt Oakley,England,Southampton FC,1,2001-2002,2001
471,Michael Owen,England,Liverpool FC,1,2001-2002,2001
472,Henrik Pedersen,Denmark,Bolton Wanderers,1,2001-2002,2001
473,Matthew Piper,England,Leicester City,1,2001-2002,2001
474,Alessandro Pistone,Italy,Everton FC,1,2001-2002,2001
475,Chris Powell,England,Charlton Athletic,1,2001-2002,2001
476,Claudio Reyna,USA,Sunderland AFC,1,2001-2002,2001
477,Dean Richards,England,Tottenham Hotspur,1,2001-2002,2001
478,Stuart Ripley,England,Southampton FC,1,2001-2002,2001
479,John Robinson,Wales,Charlton Athletic,1,2001-2002,2001
480,Alan Rogers,England,Leicester City,1,2001-2002,2001
481,Louis Saha,France,Fulham FC,1,2001-2002,2001
482,Nicky Southall,England,Bolton Wanderers,1,2001-2002,2001
483,Gary Speed,Wales,Newcastle United,1,2001-2002,2001
484,Philip Stamp,England,Middlesbrough FC,1,2001-2002,2001
485,Jordan Stewart,England,Leicester City,1,2001-2002,2001
486,Graham Stuart,England,Charlton Athletic,1,2001-2002,2001
487,Mathias Svensson,Sweden,Charlton Athletic,1,2001-2002,2001
488,Idan Tal,Israel,Everton FC,1,2001-2002,2001
489,Mauricio Taricco,Argentina,Tottenham Hotspur,1,2001-2002,2001
490,Ian Taylor,England,Aston Villa,1,2001-2002,2001
491,John Terry,England,Chelsea FC,1,2001-2002,2001
492,Ben Thatcher,Wales,Tottenham Hotspur,1,2001-2002,2001
493,Gary Twigg,Scotland,Derby County,1,2001-2002,2001
494,David Unsworth,England,Everton FC,1,2001-2002,2001
495,Juan Sebastián Verón,Argentina,Manchester United,1,2001-2002,2001
496,Paul Warhurst,England,Bolton Wanderers,1,2001-2002,2001
497,Jason Wilcox,England,Leeds United,1,2001-2002,2001
498,Nigel Winterburn,England,West Ham United,1,2001-2002,2001
499,Alan Wright,England,Aston Villa,1,2001-2002,2001
500,Luke Young,England,Charlton Athletic,1,2001-2002,2001
501,Luciano Zavagno,Argentina,Derby County,1,2001-2002,2001
502,Thierry Henry,France,Arsenal FC,20,2002-2003,2002
503,Ryan Giggs,Wales,Manchester United,10,2002-2003,2002
504,Dennis Bergkamp,Netherlands,Arsenal FC,9,2002-2003,2002
505,David Beckham,England,Manchester United,8,2002-2003,2002
506,Eyal Berkovic,Israel,Manchester City,8,2002-2003,2002
507,Thomas Gravesen,Denmark,Everton FC,8,2002-2003,2002
508,Geremi Njitap,Cameroon,Middlesbrough FC,8,2002-2003,2002
509,Steven Gerrard,England,Liverpool FC,7,2002-2003,2002
510,Jimmy Floyd Hasselbaink,Netherlands,Chelsea FC,7,2002-2003,2002
511,Claus Jensen,Denmark,Charlton Athletic,7,2002-2003,2002
512,Harry Kewell,Australia,Leeds United,7,2002-2003,2002
513,Danny Murphy,England,Liverpool FC,7,2002-2003,2002
514,Laurent Robert,France,Newcastle United,7,2002-2003,2002
515,Gianfranco Zola,Italy,Chelsea FC,7,2002-2003,2002
516,Darren Anderton,England,Tottenham Hotspur,6,2002-2003,2002
517,Ali Benarbia,Algeria,Manchester City,6,2002-2003,2002
518,Andy Cole,England,Blackburn Rovers,6,2002-2003,2002
519,Jermain Defoe,England,West Ham United,6,2002-2003,2002
520,Stan Lazaridis,Australia,Birmingham City,6,2002-2003,2002
521,Massimo Maccarone,Italy,Middlesbrough FC,6,2002-2003,2002
522,Mikaël Silvestre,France,Manchester United,6,2002-2003,2002
523,Nolberto Solano,Peru,Newcastle United,6,2002-2003,2002
524,Ole Gunnar Solskjær,Norway,Manchester United,6,2002-2003,2002
525,Nicolas Anelka,France,Manchester City,5,2002-2003,2002
526,Craig Bellamy,Wales,Newcastle United,5,2002-2003,2002
527,Damien Duff,Ireland,Blackburn Rovers,5,2002-2003,2002
528,Hugo Viana,Portugal,Newcastle United,5,2002-2003,2002
529,Stern John,St. Lucia,Birmingham City,5,2002-2003,2002
530,Gary Kelly,Ireland,Leeds United,5,2002-2003,2002
531,Jason Koumas,Wales,West Bromwich Albion,5,2002-2003,2002
532,Steed Malbranque,France,Fulham FC,5,2002-2003,2002
533,Michael Owen,England,Liverpool FC,5,2002-2003,2002
534,Emmanuel Petit,France,Chelsea FC,5,2002-2003,2002
535,John Arne Riise,Norway,Liverpool FC,5,2002-2003,2002
536,Robbie Savage,Wales,Birmingham City,5,2002-2003,2002
537,Alan Smith,England,Leeds United,5,2002-2003,2002
538,Boudewijn Zenden,Netherlands,Chelsea FC,5,2002-2003,2002
539,Gareth Barry,England,Aston Villa,4,2002-2003,2002
540,Kevin Campbell,England,Everton FC,4,2002-2003,2002
541,Ashley Cole,England,Arsenal FC,4,2002-2003,2002
542,Youri Djorkaeff,France,Bolton Wanderers,4,2002-2003,2002
543,David Dunn,England,Blackburn Rovers,4,2002-2003,2002
544,Kieron Dyer,England,Newcastle United,4,2002-2003,2002
545,Jesper Grønkjær,Denmark,Chelsea FC,4,2002-2003,2002
546,Joseph-Désiré Job,Cameroon,Middlesbrough FC,4,2002-2003,2002
547,Nwankwo Kanu,Nigeria,Arsenal FC,4,2002-2003,2002
548,Graeme Le Saux,England,Chelsea FC,4,2002-2003,2002
549,Gary Neville,England,Manchester United,4,2002-2003,2002
550,Brett Ormerod,England,Southampton FC,4,2002-2003,2002
551,Kevin Phillips,England,Sunderland AFC,4,2002-2003,2002
552,Franck Queudrue,France,Middlesbrough FC,4,2002-2003,2002
553,Wayne Rooney,England,Everton FC,4,2002-2003,2002
554,Alan Shearer,England,Newcastle United,4,2002-2003,2002
555,Teddy Sheringham,England,Tottenham Hotspur,4,2002-2003,2002
556,Vladimír Šmicer,Czech Republic,Liverpool FC,4,2002-2003,2002
557,Ruud van Nistelrooy,Netherlands,Manchester United,4,2002-2003,2002
558,Sylvain Wiltord,France,Arsenal FC,4,2002-2003,2002
559,Christian Ziege,Germany,Tottenham Hotspur,4,2002-2003,2002
560,Juan Pablo Ángel,Colombia,Aston Villa,3,2002-2003,2002
561,Eirik Bakke,Norway,Leeds United,3,2002-2003,2002
562,Joe Cole,England,West Ham United,3,2002-2003,2002
563,Simon Davies,Wales,Tottenham Hotspur,3,2002-2003,2002
564,Paolo Di Canio,Italy,West Ham United,3,2002-2003,2002
565,Dion Dublin,England,Aston Villa,3,2002-2003,2002
566,Matthew Etherington,England,Tottenham Hotspur,3,2002-2003,2002
567,Fabrice Fernandes,France,Southampton FC,3,2002-2003,2002
568,Scott Gemmill,Scotland,Everton FC,3,2002-2003,2002
569,Keith Gillespie,Northern Ireland,Blackburn Rovers,3,2002-2003,2002
570,Jonathan Greening,England,Middlesbrough FC,3,2002-2003,2002
571,Ian Harte,Ireland,Leeds United,3,2002-2003,2002
572,Emile Heskey,England,Liverpool FC,3,2002-2003,2002
573,Thomas Hitzlsperger,Germany,Aston Villa,3,2002-2003,2002
574,Kevin Horlock,Northern Ireland,Manchester City,3,2002-2003,2002
575,Steffen Iversen,Norway,Tottenham Hotspur,3,2002-2003,2002
576,Juninho Paulista,Brazil,Middlesbrough FC,3,2002-2003,2002
577,Frank Lampard,England,Chelsea FC,3,2002-2003,2002
578,Tie Li,China,Everton FC,3,2002-2003,2002
579,Kevin Lisbie,Jamaica,Charlton Athletic,3,2002-2003,2002
580,Chris Marsden,England,Southampton FC,3,2002-2003,2002
581,Derek McInnes,Scotland,West Bromwich Albion,3,2002-2003,2002
582,Matt Oakley,England,Southampton FC,3,2002-2003,2002
583,Jay Jay Okocha,Nigeria,Bolton Wanderers,3,2002-2003,2002
584,Egil Østenstad,Norway,Blackburn Rovers,3,2002-2003,2002
585,Scott Parker,England,Charlton Athletic,3,2002-2003,2002
586,Robert Pirés,France,Arsenal FC,3,2002-2003,2002
587,Gustavo Poyet,Uruguay,Tottenham Hotspur,3,2002-2003,2002
588,Tomasz Radzinski,Canada,Everton FC,3,2002-2003,2002
589,Paul Scholes,England,Manchester United,3,2002-2003,2002
590,Gary Speed,Wales,Newcastle United,3,2002-2003,2002
591,Anders Svensson,Sweden,Southampton FC,3,2002-2003,2002
592,David Thompson,England,Blackburn Rovers,3,2002-2003,2002
593,Darius Vassell,England,Aston Villa,3,2002-2003,2002
594,Juan Sebastián Verón,Argentina,Manchester United,3,2002-2003,2002
595,Mark Viduka,Australia,Leeds United,3,2002-2003,2002
596,Patrick Vieira,France,Arsenal FC,3,2002-2003,2002
597,Shaun Wright-Phillips,England,Manchester City,3,2002-2003,2002
598,Dwight Yorke,Trinidad & Tobago,Blackburn Rovers,3,2002-2003,2002
599,Milenko Ačimovič,Slovenia,Tottenham Hotspur,2,2002-2003,2002
600,Shola Ameobi,Nigeria,Newcastle United,2,2002-2003,2002
601,Nick Barmby,England,Leeds United,2,2002-2003,2002
602,Milan Baroš,Czech Republic,Liverpool FC,2,2002-2003,2002
603,Shaun Bartlett,South Africa,Charlton Athletic,2,2002-2003,2002
604,James Beattie,England,Southampton FC,2,2002-2003,2002
605,Djamel Belmadi,Algeria,Manchester City,2,2002-2003,2002
606,Alen Bokšić,Croatia,Middlesbrough FC,2,2002-2003,2002
607,Lee Bowyer,England,West Ham United,2,2002-2003,2002
608,Wayne Bridge,England,Southampton FC,2,2002-2003,2002
609,Jamie Carragher,England,Liverpool FC,2,2002-2003,2002
610,Michael Carrick,England,West Ham United,2,2002-2003,2002
611,Stephen Clemence,England,Birmingham City,2,2002-2003,2002
612,Carlton Cole,England,Chelsea FC,2,2002-2003,2002
613,Ulises De la Cruz,Ecuador,Aston Villa,2,2002-2003,2002
614,El-Hadji Diouf,Senegal,Liverpool FC,2,2002-2003,2002
615,Jason Euell,Jamaica,Charlton Athletic,2,2002-2003,2002
616,Steve Finnan,Ireland,Fulham FC,2,2002-2003,2002
617,Diego Forlán,Uruguay,Manchester United,2,2002-2003,2002
618,Per Frandsen,Denmark,Bolton Wanderers,2,2002-2003,2002
619,Gilberto Silva,Brazil,Arsenal FC,2,2002-2003,2002
620,Shaun Goater,Bermuda,Manchester City,2,2002-2003,2002
621,Michael Gray,England,Sunderland AFC,2,2002-2003,2002
622,Eiður Guðjohnsen,Iceland,Chelsea FC,2,2002-2003,2002
623,Jóhannes Guðjónsson,Iceland,Aston Villa,2,2002-2003,2002
624,Dietmar Hamann,Germany,Liverpool FC,2,2002-2003,2002
625,Barry Hayles,Jamaica,Fulham FC,2,2002-2003,2002
626,Lee Hendrie,England,Aston Villa,2,2002-2003,2002
627,Geoff Horsfield,England,Birmingham City,2,2002-2003,2002
628,Sami Hyypiä,Finland,Liverpool FC,2,2002-2003,2002
629,Junichi Inamoto,Japan,Fulham FC,2,2002-2003,2002
630,Jermaine Jenas,England,Newcastle United,2,2002-2003,2002
631,Jonatan Johansson,Finland,Charlton Athletic,2,2002-2003,2002
632,Glen Johnson,England,West Ham United,2,2002-2003,2002
633,Jeff Kenna,Ireland,Birmingham City,2,2002-2003,2002
634,Kevin Kilbane,Ireland,Sunderland AFC,2,2002-2003,2002
635,Sylvain Legwinski,France,Fulham FC,2,2002-2003,2002
636,Øyvind Leonhardsen,Norway,Aston Villa,2,2002-2003,2002
637,Steve Lomas,Northern Ireland,West Ham United,2,2002-2003,2002
638,Dominic Matteo,Scotland,Leeds United,2,2002-2003,2002
639,Gavin McCann,England,Sunderland AFC,2,2002-2003,2002
640,Mario Melchiot,Netherlands,Chelsea FC,2,2002-2003,2002
641,Gary Naysmith,Scotland,Everton FC,2,2002-2003,2002
642,Lucas Neill,Australia,Blackburn Rovers,2,2002-2003,2002
643,Kevin Nolan,England,Bolton Wanderers,2,2002-2003,2002
644,Stuart Parnaby,England,Middlesbrough FC,2,2002-2003,2002
645,Henrik Pedersen,Denmark,Bolton Wanderers,2,2002-2003,2002
646,Sebastien Schemmel,France,West Ham United,2,2002-2003,2002
647,Mario Stanić,Croatia,Chelsea FC,2,2002-2003,2002
648,Jihai Sun,China,Manchester City,2,2002-2003,2002
649,John Terry,England,Chelsea FC,2,2002-2003,2002
650,David Unsworth,England,Everton FC,2,2002-2003,2002
651,Giovanni van Bronckhorst,Netherlands,Arsenal FC,2,2002-2003,2002
652,Ronnie Wallwork,England,West Bromwich Albion,2,2002-2003,2002
653,Mike Whitlow,England,Bolton Wanderers,2,2002-2003,2002
654,Jason Wilcox,England,Leeds United,2,2002-2003,2002
655,Jonathan Woodgate,England,Newcastle United,2,2002-2003,2002
656,Abel Xavier,Portugal,Liverpool FC,1,2002-2003,2002
657,Marcus Allbäck,Sweden,Aston Villa,1,2002-2003,2002
658,Julio Arca,Argentina,Sunderland AFC,1,2002-2003,2002
659,Boa Morte,Portugal,Fulham FC,1,2002-2003,2002
660,Wes Brown,England,Manchester United,1,2002-2003,2002
661,Goran Bunjevčević,Serbia,Tottenham Hotspur,1,2002-2003,2002
662,Nicky Butt,England,Manchester United,1,2002-2003,2002
663,Stephen Carr,Ireland,Tottenham Hotspur,1,2002-2003,2002
664,Lee Carsley,Ireland,Everton FC,1,2002-2003,2002
665,Simon Charlton,England,Bolton Wanderers,1,2002-2003,2002
666,Lee Clark,England,Fulham FC,1,2002-2003,2002
667,Neil Clement,England,West Bromwich Albion,1,2002-2003,2002
668,Christian Dailly,Scotland,West Ham United,1,2002-2003,2002
669,Sean Davis,England,Fulham FC,1,2002-2003,2002
670,Rory Delap,Ireland,Southampton FC,1,2002-2003,2002
671,Paul Devlin,Scotland,Birmingham City,1,2002-2003,2002
672,Salif Diao,Senegal,Liverpool FC,1,2002-2003,2002
673,Sylvain Distin,France,Manchester City,1,2002-2003,2002
674,Martin Djetou,France,Fulham FC,1,2002-2003,2002
675,Michael Duberry,England,Leeds United,1,2002-2003,2002
676,Richard Dunne,Ireland,Manchester City,1,2002-2003,2002
677,Lauren Etame Mayer,Cameroon,Arsenal FC,1,2002-2003,2002
678,Delroy Facey,Grenada,Bolton Wanderers,1,2002-2003,2002
679,Les Ferdinand,England,West Ham United,1,2002-2003,2002
680,Rio Ferdinand,England,Manchester United,1,2002-2003,2002
681,Tore André Flo,Norway,Sunderland AFC,1,2002-2003,2002
682,Quinton Fortune,South Africa,Manchester United,1,2002-2003,2002
683,Robbie Fowler,England,Manchester City,1,2002-2003,2002
684,William Gallas,France,Chelsea FC,1,2002-2003,2002
685,Ricardo Gardner,Jamaica,Bolton Wanderers,1,2002-2003,2002
686,Martin Grainger,England,Birmingham City,1,2002-2003,2002
687,Andy Griffin,England,Newcastle United,1,2002-2003,2002
688,Tony Hibbert,England,Everton FC,1,2002-2003,2002
689,Dean Holdsworth,England,Bolton Wanderers,1,2002-2003,2002
690,Aaron Hughes,Northern Ireland,Newcastle United,1,2002-2003,2002
691,Bryan Hughes,England,Birmingham City,1,2002-2003,2002
692,Iván Campo,Spain,Bolton Wanderers,1,2002-2003,2002
693,Francis Jeffers,England,Arsenal FC,1,2002-2003,2002
694,Andy Johnson,England,West Bromwich Albion,1,2002-2003,2002
695,Frédéric Kanouté,Mali,West Ham United,1,2002-2003,2002
696,Robbie Keane,Ireland,Tottenham Hotspur,1,2002-2003,2002
697,Roy Keane,Ireland,Manchester United,1,2002-2003,2002
698,Kasey Keller,USA,Tottenham Hotspur,1,2002-2003,2002
699,Martin Keown,England,Arsenal FC,1,2002-2003,2002
700,Tugay Kerimoğlu,Turkey,Blackburn Rovers,1,2002-2003,2002
701,Ledley King,England,Tottenham Hotspur,1,2002-2003,2002
702,Mark Kinsella,Ireland,Aston Villa,1,2002-2003,2002
703,Paul Konchesky,England,Charlton Athletic,1,2002-2003,2002
704,Freddie Ljungberg,Sweden,Arsenal FC,1,2002-2003,2002
705,Oleg Luzhniy,Ukraine,Arsenal FC,1,2002-2003,2002
706,Steve Marlet,France,Fulham FC,1,2002-2003,2002
707,Jason McAteer,Ireland,Sunderland AFC,1,2002-2003,2002
708,Brian McBride,USA,Everton FC,1,2002-2003,2002
709,Stephen McPhail,Ireland,Leeds United,1,2002-2003,2002
710,Olof Mellberg,Sweden,Aston Villa,1,2002-2003,2002
711,Danny Mills,England,Leeds United,1,2002-2003,2002
712,Darren Moore,Jamaica,West Bromwich Albion,1,2002-2003,2002
713,Jody Morris,England,Chelsea FC,1,2002-2003,2002
714,Clinton Morrison,Ireland,Birmingham City,1,2002-2003,2002
715,Szilárd Németh,Slovakia,Middlesbrough FC,1,2002-2003,2002
716,Phil Neville,England,Manchester United,1,2002-2003,2002
717,Ian Pearce,England,West Ham United,1,2002-2003,2002
718,Mark Pembridge,Wales,Everton FC,1,2002-2003,2002
719,Jermaine Pennant,England,Arsenal FC,1,2002-2003,2002
720,Michael Proctor,England,Sunderland AFC,1,2002-2003,2002
721,Jamie Redknapp,England,Tottenham Hotspur,1,2002-2003,2002
722,Jason Roberts,Grenada,West Bromwich Albion,1,2002-2003,2002
723,John Robinson,Wales,Charlton Athletic,1,2002-2003,2002
724,Paul Robinson,England,Leeds United,1,2002-2003,2002
725,Louis Saha,France,Fulham FC,1,2002-2003,2002
726,Jlloyd Samuel,Trinidad & Tobago,Aston Villa,1,2002-2003,2002
727,Facundo Sava,Argentina,Fulham FC,1,2002-2003,2002
728,Lárus Sigurðsson,Iceland,West Bromwich Albion,1,2002-2003,2002
729,Trevor Sinclair,England,West Ham United,1,2002-2003,2002
730,Steve Staunton,Ireland,Aston Villa,1,2002-2003,2002
731,Andrejs Štolcers,Latvia,Fulham FC,1,2002-2003,2002
732,Graham Stuart,England,Charlton Athletic,1,2002-2003,2002
733,Hakan Şükür,Turkey,Blackburn Rovers,1,2002-2003,2002
734,Mathias Svensson,Sweden,Charlton Athletic,1,2002-2003,2002
735,Michael Svensson,Sweden,Southampton FC,1,2002-2003,2002
736,Ian Taylor,England,Aston Villa,1,2002-2003,2002
737,Kolo Touré,Ivory Coast,Arsenal FC,1,2002-2003,2002
738,Stig Tøfting,Denmark,Bolton Wanderers,1,2002-2003,2002
739,Steve Watson,England,Everton FC,1,2002-2003,2002
740,David Weir,Scotland,Everton FC,1,2002-2003,2002
741,Pierre Womé,Cameroon,Fulham FC,1,2002-2003,2002
742,Alan Wright,England,Aston Villa,1,2002-2003,2002
743,Richard Wright,England,Everton FC,1,2002-2003,2002
744,Muzzy Izzet,Turkey,Leicester City,14,2003-2004,2003
745,Paolo Di Canio,Italy,Charlton Athletic,12,2003-2004,2003
746,Brett Emerton,Australia,Blackburn Rovers,11,2003-2004,2003
747,Ryan Giggs,Wales,Manchester United,11,2003-2004,2003
748,Steed Malbranque,France,Fulham FC,10,2003-2004,2003
749,Kevin Davies,England,Bolton Wanderers,9,2003-2004,2003
750,Damien Duff,Ireland,Chelsea FC,9,2003-2004,2003
751,Gareth Barry,England,Aston Villa,8,2003-2004,2003
752,Robert Pirés,France,Arsenal FC,8,2003-2004,2003
753,Dennis Bergkamp,Netherlands,Arsenal FC,7,2003-2004,2003
754,Steven Gerrard,England,Liverpool FC,7,2003-2004,2003
755,Tugay Kerimoğlu,Turkey,Blackburn Rovers,7,2003-2004,2003
756,Louis Saha,France,Manchester United,7,2003-2004,2003
757,James Beattie,England,Southampton FC,6,2003-2004,2003
758,Andy Cole,England,Blackburn Rovers,6,2003-2004,2003
759,Thierry Henry,France,Arsenal FC,6,2003-2004,2003
760,Thomas Hitzlsperger,Germany,Aston Villa,6,2003-2004,2003
761,Jermaine Pennant,England,Leeds United,6,2003-2004,2003
762,Laurent Robert,France,Newcastle United,6,2003-2004,2003
763,Patrik Berger,Czech Republic,Portsmouth FC,5,2003-2004,2003
764,Joe Cole,England,Chelsea FC,5,2003-2004,2003
765,Jimmy Floyd Hasselbaink,Netherlands,Chelsea FC,5,2003-2004,2003
766,Claus Jensen,Denmark,Charlton Athletic,5,2003-2004,2003
767,Mark Kennedy,Ireland,Wolverhampton Wanderers,5,2003-2004,2003
768,Frank Lampard,England,Chelsea FC,5,2003-2004,2003
769,Stan Lazaridis,Australia,Birmingham City,5,2003-2004,2003
770,Freddie Ljungberg,Sweden,Arsenal FC,5,2003-2004,2003
771,Gary Naysmith,Scotland,Everton FC,5,2003-2004,2003
772,Steve Stone,England,Portsmouth FC,5,2003-2004,2003
773,Darren Anderton,England,Tottenham Hotspur,4,2003-2004,2003
774,Nicolas Anelka,France,Manchester City,4,2003-2004,2003
775,Boa Morte,Portugal,Fulham FC,4,2003-2004,2003
